ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
3531,international,ES_LEPA_PL_EPMO,14056,PALMA DE MALLORCA airport - WARSZAWA/MODLIN airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport,PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport
3532,international,IT_LICC_RO_LRIA,14049,CATANIA/FONTANAROSSA airport - IASI airport,IT_LICC,IT,LICC,CATANIA/FONTANAROSSA airport,RO_LRIA,RO,LRIA,IASI airport
3533,international,ES_LEMG_FR_LFQQ,14047,MALAGA/COSTA DEL SOL airport - LILLE-LESQUIN airport,ES_LEMG,ES,LEMG,MALAGA/COSTA DEL SOL airport,FR_LFQQ,FR,LFQQ,LILLE-LESQUIN airport
3534,international,PL_EPMO_PT_LPPR,14030,WARSZAWA/MODLIN airport - PORTO airport,PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport,PT_LPPR,PT,LPPR,PORTO airport
3535,domestic,EL_LGSR_EL_LGTS,14027,SANTORINI airport - THESSALONIKI/MAKEDONIA airport,EL_LGSR,EL,LGSR,SANTORINI airport,EL_LGTS,EL,LGTS,THESSALONIKI/MAKEDONIA airport
3536,international,BG_LBBG_SK_LZKZ,14026,BURGAS airport - KOSICE airport,BG_LBBG,BG,LBBG,BURGAS airport,SK_LZKZ,SK,LZKZ,KOSICE airport
3537,international,PL_EPMO_UK_EGNM,14013,WARSZAWA/MODLIN airport - LEEDS BRADFORD airport,PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport,UK_EGNM,UK,EGNM,LEEDS BRADFORD airport
3538,international,BG_LBWN_PL_EPWR,14010,VARNA airport - WROCLAW/STRACHOWICE airport,BG_LBWN,BG,LBWN,VARNA airport,PL_EPWR,PL,EPWR,WROCLAW/STRACHOWICE airport
3539,domestic,ES_LECO_ES_LEPA,13973,A CORUNA airport - PALMA DE MALLORCA airport,ES_LECO,ES,LECO,A CORUNA airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport
3540,international,EL_LGMK_IT_LIPE,13970,MIKONOS airport - BOLOGNA/BORGO PANIGALE airport,EL_LGMK,EL,LGMK,MIKONOS airport,IT_LIPE,IT,LIPE,BOLOGNA/BORGO PANIGALE airport
3541,international,ES_LEVC_PL_EPMO,13915,VALENCIA airport - WARSZAWA/MODLIN airport,ES_LEVC,ES,LEVC,VALENCIA airport,PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport
3542,international,ES_LEBL_RO_LRCV,13899,BARCELONA/EL PRAT airport - CRAIOVA airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport,RO_LRCV,RO,LRCV,CRAIOVA airport
3543,domestic,NO_ENGM_NO_ENSG,13895,OSLO/GARDERMOEN airport - SOGNDAL/HAUKASEN airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport,NO_ENSG,NO,ENSG,SOGNDAL/HAUKASEN airport
